,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
234,Clemson,US,34.6834,-82.8374,56.52,81,1,3.44,clear sky,2021-12-02 04:41:27
235,Tvoroyri,FO,61.5556,-6.8111,34.99,56,87,16.82,overcast clouds,2021-12-02 04:46:06
236,Anloga,GH,5.7947,0.8973,80.82,82,79,9.26,broken clouds,2021-12-02 04:46:06
237,Calvinia,ZA,-31.4707,19.776,54.27,74,100,5.68,overcast clouds,2021-12-02 04:46:06
238,Igarka,RU,67.4667,86.5833,-17.7,94,99,6.91,overcast clouds,2021-12-02 04:46:07
239,Iseyin,NG,7.9667,3.6,71.69,99,75,3.42,broken clouds,2021-12-02 04:46:07
240,Ketchikan,US,55.3422,-131.6461,34.27,75,90,4.61,light snow,2021-12-02 04:46:07
241,Khandyga,RU,62.6667,135.6,-30.28,97,10,1.97,clear sky,2021-12-02 04:46:08
242,Ratlam,IN,23.3167,75.0667,61.09,54,100,14.38,overcast clouds,2021-12-02 04:46:08
243,Salym,RU,60.0625,71.4789,34.47,79,100,14.03,overcast clouds,2021-12-02 04:46:08
244,Verkhnyaya Inta,RU,65.9811,60.3094,11.66,90,100,11.14,overcast clouds,2021-12-02 04:46:09
245,Taoudenni,ML,22.6783,-3.9836,65.28,17,100,9.28,overcast clouds,2021-12-02 04:46:09
246,Kanniyakumari,IN,8.0833,77.5667,82.78,70,48,11.27,scattered clouds,2021-12-02 04:46:09
247,Chuy,UY,-33.6971,-53.4616,58.19,77,28,5.26,scattered clouds,2021-12-02 04:46:09
248,Bilibino,RU,68.0546,166.4372,-35.46,100,75,5.06,broken clouds,2021-12-02 04:46:10
249,Nizwa,OM,22.9333,57.5333,72.64,44,0,2.42,clear sky,2021-12-02 04:46:10
250,Lingao,CN,19.9103,109.6859,70.79,42,45,12.68,scattered clouds,2021-12-02 04:46:10
251,Shahr-E Kord,IR,32.3256,50.8644,47.97,34,20,16.11,few clouds,2021-12-02 04:46:11
252,Wenzhou,CN,27.9994,120.6668,57.16,28,0,1.77,clear sky,2021-12-02 04:46:11
253,Sept-Iles,CA,50.2001,-66.3821,18.12,93,40,8.05,scattered clouds,2021-12-02 04:42:28
254,Morgantown,US,39.6295,-79.9559,52.9,81,90,10.36,overcast clouds,2021-12-02 04:46:11
255,Gizo,SB,-8.103,156.8419,85.62,67,88,2.01,overcast clouds,2021-12-02 04:46:12
256,Ouallam,NE,14.3188,2.0866,71.62,16,91,10.56,overcast clouds,2021-12-02 04:46:12
257,Londoko,RU,49.0333,131.9833,12.22,69,100,1.57,overcast clouds,2021-12-02 04:46:12
258,Filadelfia,US,39.9523,-75.1638,46.29,82,90,1.99,light rain,2021-12-02 04:43:04
259,Surt,LY,31.2089,16.5887,55.51,66,3,12.06,clear sky,2021-12-02 04:46:13
260,Melnikovo,RU,56.5558,84.085,20.03,84,100,9.08,overcast clouds,2021-12-02 04:46:13
261,Mandalgovi,MN,45.7625,106.2708,29.5,23,6,12.15,clear sky,2021-12-02 04:46:13
262,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,41,0,34.52,clear sky,2021-12-02 04:46:13
263,Abu Samrah,SY,35.3029,37.1841,50.31,72,0,8.01,clear sky,2021-12-02 04:46:14
264,Saint Anthony,US,45.0205,-93.218,49.84,76,1,1.99,clear sky,2021-12-02 04:46:14
265,Ati,TD,13.2154,18.3353,70.74,25,9,11.36,clear sky,2021-12-02 04:46:15
266,San Cristobal,VE,7.7669,-72.225,66.38,91,58,1.68,broken clouds,2021-12-02 04:46:15
267,Podyuga,RU,61.095,40.8647,18.1,93,100,8.43,overcast clouds,2021-12-02 04:46:15
268,Aklavik,CA,68.2191,-135.0107,-19.37,98,100,9.73,light snow,2021-12-02 04:46:15
269,Isangel,VU,-19.55,169.2667,86.11,66,40,12.66,scattered clouds,2021-12-02 04:46:16
270,Amarante Do Maranhao,BR,-5.5667,-46.7422,74.64,90,96,2.75,overcast clouds,2021-12-02 04:46:16
271,Saint George,US,37.1041,-113.5841,56.53,30,1,0.0,clear sky,2021-12-02 04:46:16
272,Kahului,US,20.8947,-156.47,77.02,82,40,18.41,scattered clouds,2021-12-02 04:46:34
273,Sungaipenuh,ID,-2.0833,101.3833,81.34,46,43,6.4,scattered clouds,2021-12-02 04:47:17
274,Narsaq,GL,60.9167,-46.05,29.75,98,100,9.84,snow,2021-12-02 04:47:18
275,Teahupoo,PF,-17.8333,-149.2667,76.96,76,100,20.18,overcast clouds,2021-12-02 04:47:18
276,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,40,10.36,scattered clouds,2021-12-02 04:47:19
277,Henties Bay,NA,-22.116,14.2845,58.86,94,16,2.68,few clouds,2021-12-02 04:47:19
278,Gornopravdinsk,RU,60.05,69.9,34.9,84,100,12.8,light rain,2021-12-02 04:47:20
279,Veraval,IN,20.9,70.3667,74.77,67,26,13.8,scattered clouds,2021-12-02 04:47:20
280,Kruisfontein,ZA,-34.0033,24.7314,63.88,77,100,16.93,overcast clouds,2021-12-02 04:47:20
281,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.87,99,100,1.63,light rain,2021-12-02 04:47:20
282,Hovd,MN,48.0056,91.6419,23.34,40,0,0.81,clear sky,2021-12-02 04:47:21
283,Kabanjahe,ID,3.1001,98.4908,70.56,68,98,3.94,overcast clouds,2021-12-02 04:47:21
284,Husavik,IS,66.0449,-17.3389,22.91,90,100,15.03,light snow,2021-12-02 04:47:21
285,Takoradi,GH,4.8845,-1.7554,78.91,85,54,6.29,broken clouds,2021-12-02 04:47:22
286,Bac Lieu,VN,9.285,105.7244,82.92,68,47,7.83,scattered clouds,2021-12-02 04:47:22
287,Bosaso,SO,11.2842,49.1816,77.38,49,0,3.91,clear sky,2021-12-02 04:44:05
288,Tuatapere,NZ,-46.1333,167.6833,64.81,57,100,5.91,overcast clouds,2021-12-02 04:47:23
289,Ponta Pora,BR,-22.5361,-55.7256,73.26,51,96,3.8,overcast clouds,2021-12-02 04:47:23
290,Port Hedland,AU,-20.3167,118.5667,107.65,19,10,17.27,clear sky,2021-12-02 04:47:23
291,Zhigansk,RU,66.7697,123.3711,-40.43,97,65,7.96,broken clouds,2021-12-02 04:47:23
292,Broome,US,42.2506,-75.833,39.61,84,90,1.99,snow,2021-12-02 04:47:24
293,Tura,IN,25.5198,90.2201,77.41,46,9,3.27,clear sky,2021-12-02 04:47:24
294,Gravenhurst,CA,44.9168,-79.3663,36.97,86,90,11.5,light rain,2021-12-02 04:47:00
295,Rocha,UY,-34.4833,-54.3333,52.5,89,42,2.77,scattered clouds,2021-12-02 04:47:25
296,Berlevag,NO,70.8578,29.0864,32.0,62,100,26.11,light snow,2021-12-02 04:47:25
297,Santa Ines,BR,-3.6667,-45.38,75.24,85,88,3.38,moderate rain,2021-12-02 04:47:25
298,Krasnoselkup,RU,65.7,82.4667,3.65,94,100,14.27,overcast clouds,2021-12-02 04:47:25
299,Santa Rosa,PH,14.3122,121.1114,88.11,56,73,15.08,broken clouds,2021-12-02 04:47:24
300,Margate,GB,51.3813,1.3862,37.69,70,32,8.99,scattered clouds,2021-12-02 04:47:26
301,Beloha,MG,-25.1667,45.05,84.88,54,0,9.04,clear sky,2021-12-02 04:47:26
302,Wajima,JP,37.4,136.9,45.28,81,75,4.61,broken clouds,2021-12-02 04:47:27
303,The Valley,AI,18.217,-63.0578,80.46,72,97,20.15,overcast clouds,2021-12-02 04:47:27
304,Belyy Yar,RU,53.6039,91.3903,17.49,93,49,0.0,mist,2021-12-02 04:47:28
305,Bahia Honda,CU,22.9036,-83.1592,70.79,79,26,4.85,scattered clouds,2021-12-02 04:47:28
306,Romny,UA,50.751,33.4747,28.54,71,64,12.03,broken clouds,2021-12-02 04:47:28
307,Truro,GB,50.2653,-5.0544,45.68,76,40,20.71,scattered clouds,2021-12-02 04:44:10
308,Zyryanka,RU,65.75,150.85,-37.23,100,90,5.99,overcast clouds,2021-12-02 04:47:29
309,Fairview,US,40.8126,-73.999,48.2,63,90,0.0,overcast clouds,2021-12-02 04:45:29
310,Wuxue,CN,29.8506,115.5525,57.02,26,14,7.38,few clouds,2021-12-02 04:47:29
311,Laranjeiras Do Sul,BR,-25.4078,-52.4161,58.17,71,20,3.44,moderate rain,2021-12-02 04:47:29
312,Trinidad,BO,-14.8333,-64.9,73.53,97,100,4.59,overcast clouds,2021-12-02 04:47:30
313,Punta Alta,AR,-38.8759,-62.0736,69.26,53,100,9.48,overcast clouds,2021-12-02 04:44:15
314,College,US,64.8569,-147.8028,-2.54,77,75,0.0,light snow,2021-12-02 04:43:02
315,Talcahuano,CL,-36.7167,-73.1167,55.08,82,0,11.5,clear sky,2021-12-02 04:47:30
316,Roma,US,43.2128,-75.4557,42.66,79,20,6.91,few clouds,2021-12-02 04:47:30
317,Mildura,AU,-34.2,142.15,98.56,22,40,12.66,scattered clouds,2021-12-02 04:47:34
318,Honningsvag,NO,70.9821,25.9704,33.55,75,40,26.46,scattered clouds,2021-12-02 04:48:34
319,Devils Lake,US,48.1128,-98.8651,37.38,74,40,8.01,scattered clouds,2021-12-02 04:45:55
320,Kutum,SD,14.2,24.6667,59.49,40,0,11.52,clear sky,2021-12-02 04:48:34
321,Halifax,CA,44.6453,-63.5724,37.45,94,26,2.3,scattered clouds,2021-12-02 04:46:37
322,Gigmoto,PH,13.7796,124.39,80.11,79,100,18.99,overcast clouds,2021-12-02 04:48:35
323,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.44,95,4,7.78,clear sky,2021-12-02 04:44:02
324,Sinnamary,GF,5.3833,-52.95,77.56,89,100,11.3,overcast clouds,2021-12-02 04:48:36
325,Laguna,US,38.421,-121.4238,64.96,91,1,0.0,mist,2021-12-02 04:48:36
326,Westport,US,41.1415,-73.3579,47.75,77,90,1.01,overcast clouds,2021-12-02 04:48:36
327,Waw,SS,7.7029,27.9953,77.25,59,66,1.88,broken clouds,2021-12-02 04:48:36
328,Platanos,GR,37.6667,21.6167,53.08,75,82,5.48,broken clouds,2021-12-02 04:48:37
329,Bonavista,CA,48.6499,-53.1147,37.11,75,32,7.2,scattered clouds,2021-12-02 04:48:37
330,Saldanha,ZA,-33.0117,17.9442,57.25,77,0,20.22,clear sky,2021-12-02 04:48:37
331,Iqaluit,CA,63.7506,-68.5145,13.73,78,75,0.0,broken clouds,2021-12-02 04:48:37
332,Talnakh,RU,69.4865,88.3972,-21.98,97,23,5.08,few clouds,2021-12-02 04:48:38
333,Nsoko,SZ,-27.0333,31.95,76.26,70,56,6.64,broken clouds,2021-12-02 04:48:38
334,Stony Plain,CA,53.5334,-114.0021,33.53,76,90,1.01,overcast clouds,2021-12-02 04:48:38
335,Pangody,RU,65.85,74.4859,4.53,94,100,17.58,light snow,2021-12-02 04:48:39
336,Yurla,RU,59.3259,54.3223,21.92,93,81,6.35,broken clouds,2021-12-02 04:48:40
337,Yurga,RU,55.7231,84.8861,17.64,84,100,8.37,overcast clouds,2021-12-02 04:48:40
338,Batemans Bay,AU,-35.7167,150.1833,86.99,64,8,8.97,clear sky,2021-12-02 04:48:40
339,San Policarpo,PH,12.1791,125.5072,79.79,87,100,15.43,overcast clouds,2021-12-02 04:48:41
340,Dikson,RU,73.5069,80.5464,-9.11,95,100,14.85,overcast clouds,2021-12-02 04:48:41
341,Bemidji,US,47.4736,-94.8803,41.29,76,40,16.11,scattered clouds,2021-12-02 04:48:42
342,Conde,BR,-7.2597,-34.9075,78.26,83,40,4.61,scattered clouds,2021-12-02 04:48:42
343,Georgiyevka,KZ,43.0369,74.7114,50.04,37,0,17.9,clear sky,2021-12-02 04:48:42
344,Ambilobe,MG,-13.2,49.05,84.85,49,6,5.5,clear sky,2021-12-02 04:48:43
345,Alofi,NU,-19.0595,-169.9187,73.29,94,30,9.22,scattered clouds,2021-12-02 04:48:43
346,Balkhash,KZ,46.844,74.9804,27.21,59,0,13.42,clear sky,2021-12-02 04:48:43
347,Manaquiri,BR,-3.3167,-60.35,79.25,94,94,2.68,overcast clouds,2021-12-02 04:48:43
348,Cuiluan,CN,47.72,128.648,19.71,91,100,2.73,light snow,2021-12-02 04:48:44
349,La Palma,US,33.8464,-118.0467,76.35,94,1,0.0,mist,2021-12-02 04:48:44
350,Jinchang,CN,38.4953,102.1739,39.22,14,0,3.47,clear sky,2021-12-02 04:48:45
351,Strezhevoy,RU,60.7333,77.5889,33.78,81,100,15.26,overcast clouds,2021-12-02 04:48:45
352,Benjamin Constant,BR,-4.3831,-70.0311,75.33,99,100,1.9,overcast clouds,2021-12-02 04:48:45
353,Plouzane,FR,48.3833,-4.6167,44.78,78,40,6.91,scattered clouds,2021-12-02 04:48:45
354,Coruripe,BR,-10.1256,-36.1756,76.46,89,84,10.29,broken clouds,2021-12-02 04:48:46
355,Neryungri,RU,56.6709,124.6491,-1.17,90,100,14.5,overcast clouds,2021-12-02 04:48:46
356,Mayskiy,RU,47.6931,40.1025,35.44,92,50,7.67,scattered clouds,2021-12-02 04:48:47
357,Sorland,NO,67.667,12.6934,36.07,53,100,35.59,overcast clouds,2021-12-02 04:48:47
358,Alta Floresta,BR,-9.8756,-56.0861,70.27,99,100,4.41,overcast clouds,2021-12-02 04:48:47
359,Sisimiut,GL,66.9395,-53.6735,30.02,87,100,2.26,overcast clouds,2021-12-02 04:48:47
360,Arman,RU,59.7,150.1667,0.18,83,100,19.53,overcast clouds,2021-12-02 04:48:48
361,Richards Bay,ZA,-28.783,32.0377,77.32,75,61,17.11,broken clouds,2021-12-02 04:48:48
362,Khorramabad,IR,33.4878,48.3558,56.82,38,75,4.61,broken clouds,2021-12-02 04:48:48
363,Namatanai,PG,-3.6667,152.4333,84.52,68,99,6.82,overcast clouds,2021-12-02 04:48:48
364,Teixoso,PT,40.3145,-7.4576,43.2,86,100,7.38,overcast clouds,2021-12-02 04:48:49
365,Kita,ML,13.0349,-9.4895,71.08,21,37,2.04,scattered clouds,2021-12-02 04:48:49
366,Carutapera,BR,-1.195,-46.02,78.78,83,95,6.31,overcast clouds,2021-12-02 04:49:49
367,Souris,CA,49.6172,-100.2612,37.74,81,100,16.71,overcast clouds,2021-12-02 04:49:50
368,Aketi,CD,2.7388,23.7833,70.99,96,95,0.25,overcast clouds,2021-12-02 04:49:50
369,Camacha,PT,33.0833,-16.3333,61.56,72,40,6.91,scattered clouds,2021-12-02 04:49:51
370,Obuasi,GH,6.206,-1.6619,71.8,99,67,1.23,broken clouds,2021-12-02 04:49:51
371,Redwater,US,33.3582,-94.2544,57.49,89,4,3.56,clear sky,2021-12-02 04:45:27
372,Pacific Grove,US,36.6177,-121.9166,61.56,53,1,3.0,clear sky,2021-12-02 04:49:16
373,Kenora,CA,49.8167,-94.4337,35.58,93,90,11.5,mist,2021-12-02 04:49:51
374,Tiarei,PF,-17.5333,-149.3333,82.42,75,100,18.45,overcast clouds,2021-12-02 04:49:52
375,Fatehabad,IN,29.5167,75.45,70.9,25,100,3.69,overcast clouds,2021-12-02 04:49:52
376,Kamenka,RU,51.3223,42.7678,31.75,69,100,15.7,overcast clouds,2021-12-02 04:49:52
377,Emba,KZ,48.8264,58.1442,34.02,93,100,11.83,overcast clouds,2021-12-02 04:49:53
378,Sarangani,PH,5.4033,125.4636,83.1,78,99,13.87,overcast clouds,2021-12-02 04:49:53
379,Cam Ranh,VN,11.9214,109.1591,84.16,54,20,20.71,few clouds,2021-12-02 04:49:53
380,Puerto Leguizamo,CO,-0.1934,-74.7819,73.35,88,98,1.79,overcast clouds,2021-12-02 04:49:53
381,Namibe,AO,-15.1961,12.1522,69.96,81,99,1.86,overcast clouds,2021-12-02 04:49:54
382,Jieshi,CN,22.8134,115.8257,65.95,30,4,3.53,clear sky,2021-12-02 04:49:54
383,Ilulissat,GL,69.2167,-51.1,22.41,65,88,10.54,overcast clouds,2021-12-02 04:49:55
384,Alegrete,BR,-29.7831,-55.7919,61.84,83,5,10.78,clear sky,2021-12-02 04:49:55
385,Chulman,RU,56.8479,124.9104,-0.69,91,100,13.78,overcast clouds,2021-12-02 04:49:55
386,San Juan,AR,-31.5375,-68.5364,80.58,33,56,5.75,broken clouds,2021-12-02 04:49:55
387,Lloydminster,CA,53.2835,-110.0016,26.28,86,20,9.22,few clouds,2021-12-02 04:49:56
388,Saurimo,AO,-9.6608,20.3916,64.67,96,100,2.68,overcast clouds,2021-12-02 04:49:56
389,Evensk,RU,61.95,159.2333,6.48,89,100,36.42,snow,2021-12-02 04:49:57
390,Puerto Madryn,AR,-42.7692,-65.0385,64.17,27,60,24.99,broken clouds,2021-12-02 04:49:58
391,Alamosa,US,37.4695,-105.87,35.11,45,1,8.05,clear sky,2021-12-02 04:49:58
392,Ipixuna,BR,-1.7625,-48.8043,78.75,94,66,3.27,broken clouds,2021-12-02 04:49:58
393,Suclayin,PH,15.7568,121.5503,80.31,63,79,7.16,broken clouds,2021-12-02 04:49:58
394,Buin,CL,-33.7333,-70.75,66.74,69,0,1.9,clear sky,2021-12-02 04:49:59
395,Koygorodok,RU,60.445,50.9968,16.0,96,78,6.6,broken clouds,2021-12-02 04:49:59
396,Ossora,RU,59.2353,163.0719,33.94,99,100,11.34,moderate rain,2021-12-02 04:49:59
397,Ostrovnoy,RU,68.0531,39.5131,27.73,64,100,32.79,overcast clouds,2021-12-02 04:50:00
398,Bethel,US,41.3712,-73.414,42.58,77,90,0.0,overcast clouds,2021-12-02 04:48:10
399,Moscow,RU,55.7522,37.6156,22.55,92,90,7.56,overcast clouds,2021-12-02 04:48:47
400,Asfi,MA,32.2994,-9.2372,56.48,71,6,4.59,clear sky,2021-12-02 04:50:00
401,Capitao Poco,BR,-1.7464,-47.0594,73.45,94,84,3.74,broken clouds,2021-12-02 04:48:22
402,Kulhudhuffushi,MV,6.6221,73.07,82.0,76,10,8.7,clear sky,2021-12-02 04:50:00
403,Naze,JP,28.3667,129.4833,59.92,66,92,12.75,overcast clouds,2021-12-02 04:50:01
404,Bay Roberts,CA,47.5999,-53.2648,40.33,91,56,1.99,broken clouds,2021-12-02 04:50:01
405,La Ronge,CA,55.1001,-105.2842,10.65,85,20,4.61,few clouds,2021-12-02 04:50:01
406,Ishigaki,JP,24.3448,124.1572,69.93,52,40,16.11,scattered clouds,2021-12-02 04:50:01
407,Epe,NG,6.5841,3.9834,76.08,94,85,3.13,overcast clouds,2021-12-02 04:50:02
408,Camana,PE,-16.6228,-72.7111,67.01,80,99,8.1,overcast clouds,2021-12-02 04:49:50
409,Dudinka,RU,69.4058,86.1778,-24.79,98,49,4.29,scattered clouds,2021-12-02 04:50:02
410,Veliki Preslav,BG,43.1667,26.8167,42.17,79,1,3.44,clear sky,2021-12-02 04:50:02
411,Sola,VU,-13.8833,167.55,82.22,71,6,4.81,clear sky,2021-12-02 04:50:03
412,Grindavik,IS,63.8424,-22.4338,39.67,100,90,29.93,mist,2021-12-02 04:50:03
413,Changanacheri,IN,9.4667,76.55,86.92,63,35,1.74,scattered clouds,2021-12-02 04:50:03
414,Tokur,RU,53.1333,132.9,-4.79,83,24,2.01,few clouds,2021-12-02 04:51:05
415,Tual,ID,-5.6667,132.75,77.23,87,100,1.72,light rain,2021-12-02 04:51:05
416,Gambo,CF,4.6482,22.2633,71.28,93,86,1.48,light rain,2021-12-02 04:51:06
417,Merauke,ID,-8.4667,140.3333,80.64,86,100,8.66,overcast clouds,2021-12-02 04:51:06
418,Dharchula,IN,29.85,80.5333,66.49,44,100,0.51,overcast clouds,2021-12-02 04:51:06
419,Meulaboh,ID,4.1363,96.1285,83.17,71,44,6.89,light rain,2021-12-02 04:51:07
420,San Vicente,AR,-26.6167,-54.1333,60.78,69,69,2.86,broken clouds,2021-12-02 04:51:07
421,Copiapo,CL,-27.3667,-70.3333,53.29,57,57,1.3,broken clouds,2021-12-02 04:51:07
422,Sambava,MG,-14.2667,50.1667,78.93,74,18,9.89,light rain,2021-12-02 04:51:07
423,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,75,11.18,broken clouds,2021-12-02 04:51:08
424,Zavetnoye,RU,47.1194,43.8903,36.12,81,100,12.35,overcast clouds,2021-12-02 04:51:08
425,Haicheng,CN,40.8516,122.7475,41.99,42,22,14.45,few clouds,2021-12-02 04:51:08
426,Muros,ES,42.7762,-9.0603,54.84,94,79,15.99,broken clouds,2021-12-02 04:51:08
427,Turukhansk,RU,65.8167,87.9833,-2.85,89,93,12.21,overcast clouds,2021-12-02 04:51:09
428,Oxelosund,SE,58.6706,17.1015,28.78,100,75,12.66,light snow,2021-12-02 04:51:09
429,Yenagoa,NG,4.9247,6.2642,76.14,93,90,3.09,overcast clouds,2021-12-02 04:51:09
430,Marsh Harbour,BS,26.5412,-77.0636,74.57,77,39,15.35,scattered clouds,2021-12-02 04:51:09
431,Miles City,US,46.4083,-105.8406,62.51,39,1,14.97,clear sky,2021-12-02 04:51:10
432,Egvekinot,RU,66.3167,-179.1667,-0.06,96,100,4.92,light snow,2021-12-02 04:51:10
433,Charters Towers,AU,-20.1,146.2667,96.48,24,2,9.75,clear sky,2021-12-02 04:51:10
434,Puerto Escondido,MX,15.85,-97.0667,77.81,74,6,4.56,clear sky,2021-12-02 04:51:10
435,Deputatskiy,RU,69.3,139.9,-37.19,100,61,1.7,broken clouds,2021-12-02 04:51:11
436,Sao Filipe,CV,14.8961,-24.4956,74.34,68,100,10.45,overcast clouds,2021-12-02 04:51:11
437,Faya,SA,18.3851,42.4509,48.31,40,1,2.62,clear sky,2021-12-02 04:51:11
438,Balykshi,KZ,47.0667,51.8667,30.2,93,90,11.18,mist,2021-12-02 04:51:11
439,Mahajanga,MG,-15.7167,46.3167,82.42,61,20,11.5,few clouds,2021-12-02 04:51:12
440,Pochutla,MX,15.7432,-96.4661,75.81,72,37,3.51,scattered clouds,2021-12-02 04:51:12
441,Pushkino,RU,56.0172,37.8667,22.41,93,94,7.23,overcast clouds,2021-12-02 04:51:12
442,Adrar,MR,20.5022,-10.0711,66.83,15,100,10.47,overcast clouds,2021-12-02 04:51:13
443,Biloxi,US,30.396,-88.8853,55.72,94,1,0.0,mist,2021-12-02 04:50:20
444,Lamu,KE,-2.2717,40.902,82.62,76,42,8.01,light rain,2021-12-02 04:51:13
445,Kiama,AU,-34.6833,150.8667,89.01,71,22,8.99,few clouds,2021-12-02 04:51:13
446,Brigantine,US,39.4101,-74.3646,51.03,87,90,4.61,overcast clouds,2021-12-02 04:51:13
447,Baghdad,IQ,33.3406,44.4009,53.51,71,0,5.75,clear sky,2021-12-02 04:48:48
448,Tucumcari,US,35.1717,-103.725,42.64,33,1,0.0,clear sky,2021-12-02 04:51:14
449,Hirtshals,DK,57.5881,9.9592,28.22,61,100,23.85,overcast clouds,2021-12-02 04:51:14
450,Bardiyah,LY,31.7561,25.0865,57.81,62,62,10.54,broken clouds,2021-12-02 04:51:14
451,Pandan,PH,14.0453,124.1694,78.64,80,96,20.38,light rain,2021-12-02 04:51:15
452,Tadine,NC,-21.55,167.8833,79.77,74,100,14.36,overcast clouds,2021-12-02 04:51:15
453,Durban,ZA,-29.8579,31.0292,72.91,95,79,1.01,broken clouds,2021-12-02 04:47:21
454,Clyde River,CA,70.4692,-68.5914,8.83,85,100,19.57,light snow,2021-12-02 04:51:15
455,Cartagena,CO,10.3997,-75.5144,78.42,89,20,10.36,few clouds,2021-12-02 04:51:15
456,Svetlyy,RU,54.675,20.1347,39.25,79,100,27.98,overcast clouds,2021-12-02 04:51:16
457,Amot,NO,59.5714,7.9877,14.25,73,36,6.91,scattered clouds,2021-12-02 04:51:16
458,Santana Do Livramento,BR,-30.8908,-55.5328,56.26,94,0,6.24,clear sky,2021-12-02 04:52:16
459,San Rafael,AR,-34.6177,-68.3301,65.12,74,13,9.37,few clouds,2021-12-02 04:52:17
460,Xining,CN,36.6167,101.7667,30.51,28,94,2.33,overcast clouds,2021-12-02 04:52:17
461,Hamilton,US,39.1834,-84.5333,53.73,89,96,3.0,overcast clouds,2021-12-02 04:52:17
462,Homer,US,59.6425,-151.5483,21.09,81,90,11.5,snow,2021-12-02 04:52:17
463,Pearl,US,32.2746,-90.132,57.34,88,1,0.0,clear sky,2021-12-02 04:52:18
464,Kawai,JP,34.2333,135.85,47.84,51,5,3.36,clear sky,2021-12-02 04:52:18
465,Isabela,PH,6.7085,121.9711,84.25,86,100,6.6,overcast clouds,2021-12-02 04:52:18
466,La Serena,CL,-29.9078,-71.2542,56.71,88,0,2.3,clear sky,2021-12-02 04:52:18
467,Torit,SS,4.4133,32.5678,79.72,44,53,1.41,broken clouds,2021-12-02 04:52:19
